label,feature_space,model,evaluation_split,status,majority_baseline,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,auroc,pr_auc,confusion_matrix,mae,rmse,r2
contact_range,F6_gru_hidden,fixed_logistic,bc_train,diagnostic_only,0.5,0.7886408836398128,0.6647187426832882,0.850004988870685,0.7376112414356512,0.8886118165407091,0.7539179895692318,"[[977, 357], [76, 414]]",,,
contact_range,F6_gru_hidden,fixed_logistic,bc_validation,diagnostic_only,0.5,0.6366319613376147,0.5869333333333333,0.7099293580799438,0.6326245296391411,0.678495157812796,0.7125614708708266,"[[346, 371], [171, 646]]",,,
contact_range,F6_gru_hidden,fixed_logistic,dagger1,coverage_insufficient_for_generalization_claim,,,,,,,,,,,
contact_range,F6_gru_hidden,fixed_logistic,student_dev,diagnostic_only,0.5,0.5414844647344516,0.5,0.6172314770840119,0.49693829744520907,0.6048783474138986,0.7732155332826913,"[[265, 1859], [162, 3714]]",,,
contact_range,F6_gru_hidden,knn_k5,bc_train,diagnostic_only,0.5,0.9250114738549093,0.9028049182905462,0.9409802942129004,0.9325321657805543,0.986676559679344,0.9647474989037826,"[[1300, 34], [61, 429]]",,,
contact_range,F6_gru_hidden,knn_k5,bc_validation,diagnostic_only,0.5,0.5937837685583034,0.5255433363790627,0.6724950274372611,0.5718615667125746,0.6803815025546741,0.6521053922959754,"[[561, 156], [486, 331]]",,,
contact_range,F6_gru_hidden,knn_k5,dagger1,coverage_insufficient_for_generalization_claim,,,,,,,,,,,
contact_range,F6_gru_hidden,knn_k5,student_dev,diagnostic_only,0.5,0.475966836333106,0.3651880080318364,0.620393135390511,0.41256350498863303,0.5345632206693759,0.6906074310676564,"[[1452, 672], [2836, 1040]]",,,
valid_attack_geometry,F1_legal_vector,fixed_logistic,bc_train,diagnostic_only,0.5,0.7730456579286433,0.600805834340812,0.8757520320676414,0.596556847725606,0.7868776078066962,0.262830925089392,"[[1000, 581], [21, 222]]",,,
valid_attack_geometry,F1_legal_vector,fixed_logistic,bc_validation,diagnostic_only,0.5,0.41673978981987525,0.30865212193664077,0.4731457800511509,0.43757738464928975,0.5968576620397561,0.07339174601533252,"[[1166, 267], [99, 2]]",,,
valid_attack_geometry,F1_legal_vector,fixed_logistic,dagger1,diagnostic_only,0.5,0.6137041455413064,0.386930754834685,0.6137041455413064,0.42311264947737914,0.6074908042548961,0.05072042874579921,"[[560, 398], [15, 27]]",,,
